yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
16916,Miscanthus,Miscanthus x giganteus,ADAS Arthur Rickwood ,52.42,0.11,120,FALSE,1993,1996,3,40000,13.4
16917,Miscanthus,Miscanthus x giganteus,Institute of Arable Crops Research (IACR),51.81,-0.36,120,FALSE,1993,1994,1,40000,1.9
16918,Miscanthus,Miscanthus x giganteus,Institute of Arable Crops Research (IACR),51.81,-0.36,120,FALSE,1993,1995,2,40000,8.4
16919,Miscanthus,Miscanthus x giganteus,Institute of Arable Crops Research (IACR),51.81,-0.36,120,FALSE,1993,1996,3,40000,11
16920,Miscanthus,Miscanthus x giganteus,Institute of Arable Crops Research (IACR),51.81,-0.36,120,FALSE,1993,1997,4,40000,12.2
16921,Miscanthus,Miscanthus x giganteus,Essex University,51.89,0.9,120,FALSE,1993,1994,1,40000,8.9
16922,Miscanthus,Miscanthus x giganteus,Essex University,51.89,0.9,120,FALSE,1993,1995,2,40000,16.5
16923,Miscanthus,Miscanthus x giganteus,Essex University,51.89,0.9,120,FALSE,1993,1996,3,40000,16.6
16924,Miscanthus,Miscanthus x giganteus,Universidade Nova de Lisboa (UNIOVA),38.73,-9.16,120,TRUE,1993,1995,2,40000,2.7
16925,Miscanthus,Miscanthus x giganteus,Universidade Nova de Lisboa (UNIOVA),38.73,-9.16,120,TRUE,1993,1996,3,40000,3.1
16926,Miscanthus,Miscanthus x giganteus,Universidade Nova de Lisboa (UNIOVA),38.73,-9.16,120,TRUE,1993,1997,4,40000,24.3
16927,Miscanthus,Miscanthus x giganteus,Universidade Nova de Lisboa (UNIOVA),38.73,-9.16,120,TRUE,1993,1998,5,40000,25.1
16928,Miscanthus,Miscanthus x giganteus,Universidade Nova de Lisboa (UNIOVA),38.73,-9.16,120,TRUE,1993,1999,6,40000,24
1079,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.1
1080,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,0
1081,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,0
1082,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.1
1083,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,0
1084,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,0
1085,Miscanthus,Miscanthus x giganteus,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.1
