"lat","lon","year","MAT","MAP","PET","SOLAR"
48.29,15.91,1991,289.362132904961,2.9990844090933e-05,294.409099997358,258.385056452648
48.29,15.91,1992,290.976590952844,2.44911142032214e-05,363.684662142735,271.224872023213
48.29,15.91,1993,290.123391102278,2.04544171128797e-05,345.014940683435,261.884751427274
48.29,15.91,1994,290.600196637235,2.74682256552848e-05,313.424338798452,263.190580434021
48.29,15.91,1995,289.326585645848,3.389811333485e-05,309.554350670014,257.128338223267
47.84,6.42,1990,288.58688563228,2.85279015720658e-05,328.535631739649,270.500663056608
47.84,6.42,1991,289.133359263803,1.7793783839563e-05,400.113094652341,277.638527659443
47.84,6.42,1992,288.954745413255,3.37789676945677e-05,294.766165475701,259.559383041537
47.84,6.42,1993,288.059532253528,3.2945972192008e-05,308.708105666169,261.445246116881
47.84,6.42,1994,289.127870800857,3.14528375123662e-05,305.999476743082,268.25193659688
47.84,6.42,1995,288.113898213398,2.84171753766998e-05,326.23702782364,268.72390557249
51.81,-0.352,1995,288.699200639217,1.30419448485017e-05,343.957516339869,258.333605964743
51.81,-0.352,1996,287.380627484609,1.18602591851392e-05,309.823039215686,254.233532942762
51.81,-0.352,1997,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
41.14,24.88,1993,293.466032253809,8.95362584385628e-06,446.973141356623,286.366902216361
41.14,24.88,1994,294.150306877037,1.85176621543566e-05,409.584845879102,278.443444389197
41.14,24.88,1995,292.144539390122,2.24504834883049e-05,356.15173434347,271.992119060258
38.91,22.44,1995,296.293037003113,1.08383273116695e-05,488.943529851932,317.713072656488
43.67,10.32,1992,291.918958504751,2.94556920013136e-05,310.519042357759,282.039928520471
43.67,10.32,1993,292.02484990594,2.43458933778877e-05,356.540526926478,288.152381972355
43.67,10.32,1994,292.783927617956,2.64662481967723e-05,372.258176435587,290.158136191485
43.67,10.32,1995,290.938527040026,3.69285234228642e-05,328.044484824845,283.32361982835
43.67,10.32,1996,290.885381383842,3.73070614916455e-05,340.551769806371,281.678284390007
43.67,10.32,1997,291.848579610623,2.3852901237702e-05,341.897890351524,288.870383774914
50,7.85,1989,287.992479253625,3.77799828147846e-05,259.532530575038,260.263303318828
50,7.85,1990,288.047570603677,2.50056567459031e-05,300.006790785848,264.953017762391
50,7.85,1991,287.95836561176,2.02041678023163e-05,303.053982447616,263.687635267901
50,7.85,1992,289.205410770845,3.19199381121553e-05,290.269311451103,251.566273123141
50,7.85,1993,287.747296945224,2.58060462241494e-05,274.84544852894,254.977449706968
49.83,9.87,1988,287.824843410978,3.727829045543e-05,242.10911968989,253.624303826482
49.83,9.87,1989,287.874439898922,4.15364189883916e-05,253.480964440217,255.672895140504
49.83,9.87,1990,287.866008188447,2.71629244106512e-05,286.664291232867,261.578028721384
49.83,9.87,1991,287.723161267021,2.44422504826897e-05,283.251640751138,259.408863890733
49.83,9.87,1992,289.249169663272,2.97371318827764e-05,297.044814107311,253.243980984431
49.83,9.87,1993,287.760035502182,2.47987773614015e-05,276.212182707173,255.996377167111
49.83,9.87,1994,289.024337231499,2.03752315211323e-05,313.334168754965,271.767946526429
56.84,9.42,1993,286.144369278939,1.65919313499001e-05,441.934640522876,230.174651866722
56.62,10.81,1994,287.167524112426,2.84967918576216e-05,477.911928104575,240.607738210048
56.62,10.81,1995,286.937136115011,2.05026246998838e-05,483.198202614379,242.550922765775
56.62,10.81,1996,285.701400262392,1.6894554910906e-05,466.763888888889,238.871733057999
49.87,9.91,1994,288.996969884152,2.05942533396289e-05,311.646627574949,271.879019532144
49.87,9.91,1995,287.571632273613,2.60609781026249e-05,268.812555549791,256.61638980609
49.87,9.91,1996,286.574367942401,2.36435599910461e-05,270.451838228082,258.773268242061
53.88,12.62,1994,290.777897479893,1.64312355729143e-05,431.307086311661,254.085772127061
53.88,12.62,1995,290.317593763554,1.89076727505507e-05,394.210834109592,249.537286823456
53.88,12.62,1996,288.715581840218,1.96076184433347e-05,365.826613506984,243.963834534112
52.13,-2.64,1993,287.614997686548,1.88333547657652e-05,305.842461501322,241.273633476735
50.63,-3.45,1993,287.228770153295,1.79938892512536e-05,323.144347342024,242.541625393119
48.94,8.28,1994,289.705195281147,1.8221685598027e-05,352.472091387215,268.206595593151
48.11,10.01,1994,288.785527551516,2.96913940174134e-05,291.729832318952,272.666508382395
48.74,8.92,1994,289.838743453274,1.94188239478469e-05,359.271335238562,266.697163535197
48.11,10.01,1995,287.082224517439,3.07756590271537e-05,265.968343530469,264.467287575111
48.11,10.01,1996,286.519195832895,3.20238192996959e-05,271.618398328455,263.873552222624
48.74,8.92,1996,287.785976313749,2.01527790945755e-05,346.634049655222,258.354510087087
